# Admin-default TalentBuild picks — generated by wow:export-default-talents.
# Applied by wow:apply-default-talents — deliberately NOT wired into import:spelldata
# automatically, so an admin actively re-curating a live build via /admin/talent-builds
# does not get silently reverted by an unrelated routine spell-data re-import.
# Re-export after any deliberate build change you want to become the new baseline
# for fresh environments.
#
# Format: class_slug | spec_slug | kind(pve|pvp) | spell_id | rank | name (comment only)
#   - pve rows: rank disambiguates a multi-rank node sharing one spell_id across ranks.
#   - pvp rows: rank is always blank (PvP talents have no rank concept).
# Regenerated wholesale each export — do not hand-edit, re-export instead.

# Death Knight / Blood (exported 2026-08-18)
deathknight | blood | pve | 205727 | 1 | Anti-Magic Barrier
druid | restoration | pve | 474678 | 1 | Aessina's Renewal
druid | restoration | pve | 197524 | 1 | Astral Influence
druid | restoration | pve | 429433 | 1 | Blooming Infusion
druid | restoration | pve | 426784 | 1 | Call of the Elder Druid
druid | restoration | pve | 393371 | 1 | Cenarius' Guidance
druid | restoration | pve | 455797 | 1 | Cenarius' Might
druid | restoration | pve | 474541 | 1 | Circle of the Heavens
druid | restoration | pve | 434249 | 1 | Control of the Dream
druid | restoration | pve | 33786 | 1 | Cyclone
druid | restoration | pve | 433831 | 1 | Dream Surge
druid | restoration | pve | 1264776 | 1 | Dryad's Dance
druid | restoration | pve | 428937 | 1 | Early Spring
druid | restoration | pve | 145205 | 1 | Efflorescence
druid | restoration | pve | 392167 | 1 | Everbloom
druid | restoration | pve | 429399 | 1 | Expansiveness
druid | restoration | pve | 131768 | 1 | Feline Swiftness
druid | restoration | pve | 449193 | 1 | Fluid Form
druid | restoration | pve | 400129 | 2 | Forestwalk
druid | restoration | pve | 22842 | 1 | Frenzied Regeneration
druid | restoration | pve | 155675 | 1 | Germination
druid | restoration | pve | 1262034 | 1 | Gift of the Wild
druid | restoration | pve | 1226140 | 1 | Grove Guardians
druid | restoration | pve | 429402 | 1 | Grove's Inspiration
druid | restoration | pve | 392256 | 1 | Harmonious Blooming
druid | restoration | pve | 428731 | 1 | Harmony of the Grove
druid | restoration | pve | 1261867 | 1 | Heart of the Wild
druid | restoration | pve | 327993 | 1 | Improved Barkskin
druid | restoration | pve | 382552 | 1 | Improved Ironbark
druid | restoration | pve | 392378 | 1 | Improved Nature's Cure
druid | restoration | pve | 231032 | 1 | Improved Regrowth
druid | restoration | pve | 470549 | 1 | Improved Swiftmend
druid | restoration | pve | 328025 | 1 | Improved Wild Growth
druid | restoration | pve | 99 | 1 | Incapacitating Roar
druid | restoration | pve | 29166 | 1 | Innervate
druid | restoration | pve | 102342 | 1 | Ironbark
druid | restoration | pve | 33763 | 1 | Lifebloom
druid | restoration | pve | 1217941 | 1 | Lifetreading
druid | restoration | pve | 231040 | 1 | Lingering Healing
druid | restoration | pve | 1232897 | 1 | Lycara's Inspiration
druid | restoration | pve | 378988 | 2 | Lycara's Teachings
druid | restoration | pve | 22570 | 1 | Maim
druid | restoration | pve | 289237 | 1 | Master Shapeshifter
druid | restoration | pve | 385786 | 2 | Matted Fur
druid | restoration | pve | 377796 | 1 | Natural Recovery
druid | restoration | pve | 132158 | 1 | Nature's Swiftness
druid | restoration | pve | 33873 | 2 | Nurturing Instinct
druid | restoration | pve | 449191 | 1 | Oakskin
druid | restoration | pve | 113043 | 1 | Omen of Clarity
druid | restoration | pve | 382550 | 1 | Passing Seasons
druid | restoration | pve | 1213597 | 1 | Perfectly-Honed Instincts
druid | restoration | pve | 274902 | 1 | Photosynthesis
druid | restoration | pve | 428859 | 1 | Power of Nature
druid | restoration | pve | 392302 | 1 | Power of the Archdruid
druid | restoration | pve | 433748 | 1 | Protective Growth
druid | restoration | pve | 1822 | 1 | Rake
druid | restoration | pve | 404521 | 1 | Rampant Growth
druid | restoration | pve | 392356 | 1 | Reforestation
druid | restoration | pve | 383191 | 2 | Regenesis
druid | restoration | pve | 774 | 1 | Rejuvenation
druid | restoration | pve | 470562 | 1 | Renewing Surge
druid | restoration | pve | 1079 | 1 | Rip
druid | restoration | pve | 158478 | 1 | Soul of the Forest
druid | restoration | pve | 1264899 | 1 | Spirit of the Thicket
druid | restoration | pve | 106898 | 1 | Stampeding Roar
druid | restoration | pve | 197628 | 1 | Starfire
druid | restoration | pve | 451211 | 1 | Starlight Conduit
druid | restoration | pve | 197626 | 1 | Starsurge
druid | restoration | pve | 18562 | 1 | Swiftmend
druid | restoration | pve | 213764 | 1 | Swipe
druid | restoration | pve | 1264614 | 1 | Sylvan Beckoning
druid | restoration | pve | 474750 | 1 | Symbiotic Relationship
druid | restoration | pve | 16931 | 1 | Thick Hide
druid | restoration | pve | 447131 | 2 | Thriving Vegetation
druid | restoration | pve | 403521 | 1 | Tranquil Mind
druid | restoration | pve | 740 | 1 | Tranquility
druid | restoration | pve | 428544 | 1 | Treants of the Moon
druid | restoration | pve | 132469 | 1 | Typhoon
druid | restoration | pve | 377842 | 1 | Ursine Vigor
druid | restoration | pve | 449182 | 1 | Ursoc's Spirit
druid | restoration | pve | 102793 | 1 | Ursol's Vortex
druid | restoration | pve | 392325 | 1 | Verdancy
druid | restoration | pve | 301768 | 1 | Verdant Heart
druid | restoration | pve | 392410 | 1 | Verdant Infusion
druid | restoration | pve | 377847 | 1 | Well-Honed Instincts
druid | restoration | pve | 102401 | 1 | Wild Charge
druid | restoration | pve | 48438 | 1 | Wild Growth
druid | restoration | pve | 400533 | 1 | Wild Synthesis
druid | restoration | pvp | 1246126 | | Call of Ohn'ahra
druid | restoration | pvp | 203624 | | Early Spring
druid | restoration | pvp | 1217474 | | Forest Guardian
druid | restoration | pvp | 377801 | | Tireless Pursuit

# Evoker / Augmentation (exported 2026-08-18)
evoker | augmentation | pve | 407876 | 1 | Accretion
evoker | augmentation | pve | 365933 | 1 | Aerial Mastery
evoker | augmentation | pve | 407869 | 1 | Anachronism
evoker | augmentation | pve | 407243 | 2 | Aspects' Favor
evoker | augmentation | pve | 376930 | 2 | Attuned to the Dream
evoker | augmentation | pve | 408233 | 1 | Bestow Weyrnstone
evoker | augmentation | pve | 375510 | 1 | Blast Furnace
evoker | augmentation | pve | 360827 | 1 | Blistering Scales
evoker | augmentation | pve | 434300 | 1 | Bombardments
evoker | augmentation | pve | 403631 | 1 | Breath of Eons
evoker | augmentation | pve | 374251 | 1 | Cauterizing Flame
evoker | augmentation | pve | 409676 | 1 | Chrono Ward
evoker | augmentation | pve | 1250914 | 1 | Clairvoyant
evoker | augmentation | pve | 375443 | 1 | Clobbering Sweep
evoker | augmentation | pve | 1260745 | 1 | Command Squadron
evoker | augmentation | pve | 1261448 | 1 | Concentrated Power
evoker | augmentation | pve | 404195 | 1 | Defy Fate
evoker | augmentation | pve | 403208 | 1 | Draconic Attunements
evoker | augmentation | pve | 376166 | 1 | Draconic Legacy
evoker | augmentation | pve | 1259173 | 1 | Duplicate
evoker | augmentation | pve | 395152 | 1 | Ebon Might
evoker | augmentation | pve | 410784 | 1 | Echoing Strike
evoker | augmentation | pve | 375554 | 2 | Enkindled
evoker | augmentation | pve | 395160 | 1 | Eruption
evoker | augmentation | pve | 375722 | 1 | Essence Attunement
evoker | augmentation | pve | 396187 | 1 | Essence Burst
evoker | augmentation | pve | 365585 | 1 | Expunge
evoker | augmentation | pve | 441212 | 1 | Extended Battle
evoker | augmentation | pve | 375517 | 2 | Extended Flight
evoker | augmentation | pve | 412774 | 1 | Fate Mirror
evoker | augmentation | pve | 375574 | 1 | Foci of Life
evoker | augmentation | pve | 375528 | 1 | Forger of Mountains
evoker | augmentation | pve | 441180 | 1 | Hardened Scales
evoker | augmentation | pve | 368838 | 1 | Heavy Wingbeats
evoker | augmentation | pve | 375796 | 1 | Hoarded Power
evoker | augmentation | pve | 408775 | 1 | Ignition Rush
evoker | augmentation | pve | 459537 | 1 | Imminent Destruction
evoker | augmentation | pve | 1268881 | 1 | Improved Defy Fate
evoker | augmentation | pve | 410261 | 1 | Inferno's Blessing
evoker | augmentation | pve | 375544 | 2 | Inherent Resistance
evoker | augmentation | pve | 375520 | 2 | Innate Magic
evoker | augmentation | pve | 386405 | 1 | Inner Radiance
evoker | augmentation | pve | 376164 | 2 | Instinctive Arcana
evoker | augmentation | pve | 358385 | 1 | Landslide
evoker | augmentation | pve | 369939 | 1 | Leaping Flames
evoker | augmentation | pve | 433871 | 1 | Maneuverability
evoker | augmentation | pve | 438587 | 1 | Mass Eruption
evoker | augmentation | pve | 441176 | 1 | Melt Armor
evoker | augmentation | pve | 441705 | 1 | Might of the Black Dragonflight
evoker | augmentation | pve | 1291457 | 1 | Mighty Inferno
evoker | augmentation | pve | 410643 | 1 | Molten Blood
evoker | augmentation | pve | 408004 | 1 | Momentum Shift
evoker | augmentation | pve | 409267 | 1 | Motes of Possibility
evoker | augmentation | pve | 369913 | 1 | Natural Convergence
evoker | augmentation | pve | 375406 | 1 | Obsidian Bulwark
evoker | augmentation | pve | 363916 | 1 | Obsidian Scales
evoker | augmentation | pve | 441245 | 1 | Onslaught
evoker | augmentation | pve | 372048 | 1 | Oppressing Roar
evoker | augmentation | pve | 374346 | 1 | Overawe
evoker | augmentation | pve | 410260 | 1 | Overlord
evoker | augmentation | pve | 387761 | 1 | Panacea
evoker | augmentation | pve | 407866 | 1 | Plot the Future
evoker | augmentation | pve | 418101 | 1 | Potent Mana
evoker | augmentation | pve | 369908 | 1 | Power Nexus
evoker | augmentation | pve | 409311 | 1 | Prescience
evoker | augmentation | pve | 369909 | 1 | Protracted Talons
evoker | augmentation | pve | 351338 | 1 | Quell
evoker | augmentation | pve | 1261452 | 1 | Refined Essence
evoker | augmentation | pve | 374348 | 1 | Renewing Blaze
evoker | augmentation | pve | 370665 | 1 | Rescue
evoker | augmentation | pve | 406659 | 1 | Ricocheting Pyroclast
evoker | augmentation | pve | 459120 | 1 | Rumbling Earth
evoker | augmentation | pve | 372469 | 1 | Scarlet Adaptation
evoker | augmentation | pve | 360806 | 1 | Sleep Walk
evoker | augmentation | pve | 441257 | 1 | Slipstream
evoker | augmentation | pve | 369459 | 1 | Source of Magic
evoker | augmentation | pve | 410352 | 1 | Stretch Time
evoker | augmentation | pve | 1267206 | 1 | Strike from Above
evoker | augmentation | pve | 375556 | 1 | Tailwind
evoker | augmentation | pve | 408002 | 1 | Tectonic Locus
evoker | augmentation | pve | 371032 | 1 | Terror of the Skies
evoker | augmentation | pve | 404977 | 1 | Time Skip
evoker | augmentation | pve | 374968 | 1 | Time Spiral
evoker | augmentation | pve | 370553 | 1 | Tip the Scales
evoker | augmentation | pve | 412723 | 1 | Tomorrow, Today
evoker | augmentation | pve | 370888 | 1 | Twin Guardian
evoker | augmentation | pve | 1264378 | 1 | Unravel
evoker | augmentation | pve | 441246 | 1 | Unrelenting Siege
evoker | augmentation | pve | 396286 | 1 | Upheaval
evoker | augmentation | pve | 360995 | 1 | Verdant Embrace
evoker | augmentation | pve | 406904 | 1 | Volcanism
evoker | augmentation | pve | 387341 | 1 | Walloping Blow
evoker | augmentation | pve | 441206 | 1 | Wingleader
evoker | augmentation | pve | 374227 | 1 | Zephyr
evoker | augmentation | pvp | 378444 | | Obsidian Mettle
evoker | augmentation | pvp | 378438 | | Scouring Flame
evoker | augmentation | pvp | 378441 | | Time Stop
evoker | augmentation | pvp | 378437 | | Unburdened Flight

# Evoker / Devastation (exported 2026-08-18)
evoker | devastation | pve | 365933 | 1 | Aerial Mastery
evoker | devastation | pve | 369990 | 1 | Ancient Flame
evoker | devastation | pve | 375797 | 1 | Animosity
evoker | devastation | pve | 375618 | 2 | Arcane Intensity
evoker | devastation | pve | 376930 | 2 | Attuned to the Dream
evoker | devastation | pve | 1219723 | 1 | Azure Celerity
evoker | devastation | pve | 375721 | 1 | Azure Essence Burst
evoker | devastation | pve | 1265867 | 1 | Azure Sweep
evoker | devastation | pve | 375510 | 1 | Blast Furnace
evoker | devastation | pve | 434300 | 1 | Bombardments
evoker | devastation | pve | 375801 | 1 | Burnout
evoker | devastation | pve | 386283 | 1 | Catalyze
evoker | devastation | pve | 375777 | 1 | Causality
evoker | devastation | pve | 374251 | 1 | Cauterizing Flame
evoker | devastation | pve | 375443 | 1 | Clobbering Sweep
evoker | devastation | pve | 1260745 | 1 | Command Squadron
evoker | devastation | pve | 1261448 | 1 | Concentrated Power
evoker | devastation | pve | 441219 | 1 | Diverted Power
evoker | devastation | pve | 376166 | 1 | Draconic Legacy
evoker | devastation | pve | 375087 | 1 | Dragonrage
evoker | devastation | pve | 375554 | 2 | Enkindled
evoker | devastation | pve | 375722 | 1 | Essence Attunement
evoker | devastation | pve | 359073 | 1 | Eternity Surge
evoker | devastation | pve | 375757 | 1 | Eternity's Span
evoker | devastation | pve | 365585 | 1 | Expunge
evoker | devastation | pve | 375517 | 2 | Extended Flight
evoker | devastation | pve | 375542 | 1 | Exuberance
evoker | devastation | pve | 411165 | 1 | Eye of Infinity
evoker | devastation | pve | 375574 | 1 | Foci of Life
evoker | devastation | pve | 411212 | 1 | Font of Magic
evoker | devastation | pve | 375528 | 1 | Forger of Mountains
evoker | devastation | pve | 441180 | 1 | Hardened Scales
evoker | devastation | pve | 375725 | 2 | Heat Wave
evoker | devastation | pve | 368838 | 1 | Heavy Wingbeats
evoker | devastation | pve | 371038 | 2 | Honed Aggression
evoker | devastation | pve | 370781 | 1 | Imminent Destruction
evoker | devastation | pve | 375544 | 2 | Inherent Resistance
evoker | devastation | pve | 375520 | 2 | Innate Magic
evoker | devastation | pve | 386405 | 1 | Inner Radiance
evoker | devastation | pve | 376164 | 2 | Instinctive Arcana
evoker | devastation | pve | 370867 | 1 | Iridescence
evoker | devastation | pve | 358385 | 1 | Landslide
evoker | devastation | pve | 371034 | 1 | Lay Waste
evoker | devastation | pve | 369939 | 1 | Leaping Flames
evoker | devastation | pve | 433871 | 1 | Maneuverability
evoker | devastation | pve | 436335 | 1 | Mass Disintegrate
evoker | devastation | pve | 441176 | 1 | Melt Armor
evoker | devastation | pve | 441705 | 1 | Might of the Black Dragonflight
evoker | devastation | pve | 369913 | 1 | Natural Convergence
evoker | devastation | pve | 375406 | 1 | Obsidian Bulwark
evoker | devastation | pve | 363916 | 1 | Obsidian Scales
evoker | devastation | pve | 441245 | 1 | Onslaught
evoker | devastation | pve | 386348 | 1 | Onyx Legacy
evoker | devastation | pve | 372048 | 1 | Oppressing Roar
evoker | devastation | pve | 374346 | 1 | Overawe
evoker | devastation | pve | 387761 | 1 | Panacea
evoker | devastation | pve | 418101 | 1 | Potent Mana
evoker | devastation | pve | 369908 | 1 | Power Nexus
evoker | devastation | pve | 370839 | 1 | Power Swell
evoker | devastation | pve | 369909 | 1 | Protracted Talons
evoker | devastation | pve | 357211 | 1 | Pyre
evoker | devastation | pve | 351338 | 1 | Quell
evoker | devastation | pve | 1261452 | 1 | Refined Essence
evoker | devastation | pve | 387787 | 1 | Regenerative Magic
evoker | devastation | pve | 374348 | 1 | Renewing Blaze
evoker | devastation | pve | 370665 | 1 | Rescue
evoker | devastation | pve | 1271687 | 1 | Rising Fury
evoker | devastation | pve | 376872 | 1 | Ruby Essence Burst
evoker | devastation | pve | 372469 | 1 | Scarlet Adaptation
evoker | devastation | pve | 370821 | 1 | Scintillation
evoker | devastation | pve | 370819 | 1 | Scorching Embers
evoker | devastation | pve | 1265802 | 1 | Shattering Stars
evoker | devastation | pve | 360806 | 1 | Sleep Walk
evoker | devastation | pve | 441257 | 1 | Slipstream
evoker | devastation | pve | 369459 | 1 | Source of Magic
evoker | devastation | pve | 370845 | 1 | Spellweaver's Dominance
evoker | devastation | pve | 1265826 | 1 | Star Salvo
evoker | devastation | pve | 1266151 | 1 | Strafing Run
evoker | devastation | pve | 410352 | 1 | Stretch Time
evoker | devastation | pve | 1267206 | 1 | Strike from Above
evoker | devastation | pve | 375556 | 1 | Tailwind
evoker | devastation | pve | 371032 | 1 | Terror of the Skies
evoker | devastation | pve | 374968 | 1 | Time Spiral
evoker | devastation | pve | 370553 | 1 | Tip the Scales
evoker | devastation | pve | 386272 | 1 | Titanic Wrath
evoker | devastation | pve | 370888 | 1 | Twin Guardian
evoker | devastation | pve | 376888 | 1 | Tyranny
evoker | devastation | pve | 1264378 | 1 | Unravel
evoker | devastation | pve | 441246 | 1 | Unrelenting Siege
evoker | devastation | pve | 360995 | 1 | Verdant Embrace
evoker | devastation | pve | 387341 | 1 | Walloping Blow
evoker | devastation | pve | 441206 | 1 | Wingleader
evoker | devastation | pvp | 378444 | | Obsidian Mettle
evoker | devastation | pvp | 378438 | | Scouring Flame
evoker | devastation | pvp | 378441 | | Time Stop
evoker | devastation | pvp | 378437 | | Unburdened Flight

# Evoker / Preservation (exported 2026-08-18)
evoker | preservation | pve | 365933 | 1 | Aerial Mastery
evoker | preservation | pve | 431875 | 1 | Afterimage
evoker | preservation | pve | 369990 | 1 | Ancient Flame
evoker | preservation | pve | 376930 | 2 | Attuned to the Dream
evoker | preservation | pve | 375510 | 1 | Blast Furnace
evoker | preservation | pve | 370886 | 1 | Bountiful Bloom
evoker | preservation | pve | 373834 | 1 | Call of Ysera
evoker | preservation | pve | 374251 | 1 | Cauterizing Flame
evoker | preservation | pve | 1291522 | 1 | Chronal Dynamo
evoker | preservation | pve | 431442 | 1 | Chrono Flame
evoker | preservation | pve | 1260484 | 1 | Chronoboon
evoker | preservation | pve | 376166 | 1 | Draconic Legacy
evoker | preservation | pve | 355936 | 1 | Dream Breath
evoker | preservation | pve | 364343 | 1 | Echo
evoker | preservation | pve | 372233 | 1 | Energy Loop
evoker | preservation | pve | 375554 | 2 | Enkindled
evoker | preservation | pve | 375722 | 1 | Essence Attunement
evoker | preservation | pve | 369297 | 1 | Essence Burst
evoker | preservation | pve | 365585 | 1 | Expunge
evoker | preservation | pve | 375517 | 2 | Extended Flight
evoker | preservation | pve | 375542 | 1 | Exuberance
evoker | preservation | pve | 385696 | 2 | Flow State
evoker | preservation | pve | 375574 | 1 | Foci of Life
evoker | preservation | pve | 375528 | 1 | Forger of Mountains
evoker | preservation | pve | 378196 | 1 | Golden Hour
evoker | preservation | pve | 432004 | 1 | Golden Opportunity
evoker | preservation | pve | 376239 | 1 | Grace Period
evoker | preservation | pve | 368838 | 1 | Heavy Wingbeats
evoker | preservation | pve | 375544 | 2 | Inherent Resistance
evoker | preservation | pve | 375520 | 2 | Innate Magic
evoker | preservation | pve | 386405 | 1 | Inner Radiance
evoker | preservation | pve | 431484 | 1 | Instability Matrix
evoker | preservation | pve | 376164 | 2 | Instinctive Arcana
evoker | preservation | pve | 376204 | 1 | Just in Time
evoker | preservation | pve | 358385 | 1 | Landslide
evoker | preservation | pve | 369939 | 1 | Leaping Flames
evoker | preservation | pve | 371426 | 1 | Life-Giver's Flame
evoker | preservation | pve | 373270 | 1 | Lifebind
evoker | preservation | pve | 376179 | 2 | Lifeforce Mender
evoker | preservation | pve | 443177 | 1 | Lifespark
evoker | preservation | pve | 375561 | 2 | Lush Growth
evoker | preservation | pve | 1256577 | 1 | Merithra's Blessing
evoker | preservation | pve | 369913 | 1 | Natural Convergence
evoker | preservation | pve | 431715 | 1 | Nozdormu Adept
evoker | preservation | pve | 375406 | 1 | Obsidian Bulwark
evoker | preservation | pve | 363916 | 1 | Obsidian Scales
evoker | preservation | pve | 372048 | 1 | Oppressing Roar
evoker | preservation | pve | 374346 | 1 | Overawe
evoker | preservation | pve | 1260647 | 1 | Overclock
evoker | preservation | pve | 387761 | 1 | Panacea
evoker | preservation | pve | 431657 | 1 | Primacy
evoker | preservation | pve | 374348 | 1 | Renewing Blaze
evoker | preservation | pve | 371257 | 2 | Renewing Breath
evoker | preservation | pve | 370665 | 1 | Rescue
evoker | preservation | pve | 431615 | 1 | Reverberations
evoker | preservation | pve | 366155 | 1 | Reversion
evoker | preservation | pve | 363534 | 1 | Rewind
evoker | preservation | pve | 372469 | 1 | Scarlet Adaptation
evoker | preservation | pve | 360806 | 1 | Sleep Walk
evoker | preservation | pve | 377099 | 1 | Spark of Insight
evoker | preservation | pve | 376150 | 1 | Spiritual Clarity
evoker | preservation | pve | 370537 | 1 | Stasis
evoker | preservation | pve | 375556 | 1 | Tailwind
evoker | preservation | pve | 431695 | 1 | Temporal Burst
evoker | preservation | pve | 362874 | 1 | Temporal Compression
evoker | preservation | pve | 431873 | 1 | Temporality
evoker | preservation | pve | 371032 | 1 | Terror of the Skies
evoker | preservation | pve | 431984 | 1 | Time Convergence
evoker | preservation | pve | 357170 | 1 | Time Dilation
evoker | preservation | pve | 372527 | 2 | Time Lord
evoker | preservation | pve | 374968 | 1 | Time Spiral
evoker | preservation | pve | 368412 | 1 | Time of Need
evoker | preservation | pve | 376240 | 2 | Timeless Magic
evoker | preservation | pve | 370553 | 1 | Tip the Scales
evoker | preservation | pve | 443264 | 1 | Titan's Gift
evoker | preservation | pve | 1242031 | 1 | Twin Echoes
evoker | preservation | pve | 370888 | 1 | Twin Guardian
evoker | preservation | pve | 1239581 | 1 | Unshakable
evoker | preservation | pve | 360995 | 1 | Verdant Embrace
evoker | preservation | pve | 387341 | 1 | Walloping Blow
evoker | preservation | pve | 429483 | 1 | Warp
evoker | preservation | pve | 1241704 | 1 | Wings of Liberty
evoker | preservation | pvp | 370960 | | Emerald Communion
evoker | preservation | pvp | 1241352 | | Nullifying Shroud
evoker | preservation | pvp | 378444 | | Obsidian Mettle
evoker | preservation | pvp | 378438 | | Scouring Flame

# Hunter / Beast Mastery (exported 2026-08-18)
hunter | beast-mastery | pve | 269737 | 1 | Alpha Predator
hunter | beast-mastery | pve | 267116 | 1 | Animal Companion
hunter | beast-mastery | pve | 469880 | 1 | Barbed Scales
hunter | beast-mastery | pve | 217200 | 1 | Barbed Shot
hunter | beast-mastery | pve | 19574 | 1 | Bestial Wrath
hunter | beast-mastery | pve | 472357 | 1 | Better Together
hunter | beast-mastery | pve | 109248 | 1 | Binding Shot
hunter | beast-mastery | pve | 1272099 | 1 | Bloodshed
hunter | beast-mastery | pve | 407412 | 1 | Bloody Frenzy
hunter | beast-mastery | pve | 407412 | 1 | Bloody Frenzy
hunter | beast-mastery | pve | 266921 | 2 | Born To Be Wild
hunter | beast-mastery | pve | 199483 | 1 | Camouflage
hunter | beast-mastery | pve | 193455 | 1 | Cobra Shot
hunter | beast-mastery | pve | 1268671 | 1 | Cold Feet
hunter | beast-mastery | pve | 1268871 | 1 | Combat Experience
hunter | beast-mastery | pve | 5116 | 1 | Concussive Shot
hunter | beast-mastery | pve | 147362 | 1 | Counter Shot
hunter | beast-mastery | pve | 120679 | 1 | Dire Beast
hunter | beast-mastery | pve | 378743 | 1 | Dire Command
hunter | beast-mastery | pve | 385810 | 2 | Dire Frenzy
hunter | beast-mastery | pve | 472352 | 1 | Dire Summons
hunter | beast-mastery | pve | 343244 | 1 | Disruptive Rounds
hunter | beast-mastery | pve | 459517 | 1 | Emergency Salve
hunter | beast-mastery | pve | 1264934 | 2 | Frenzy
hunter | beast-mastery | pve | 472550 | 1 | Fury of the Wyvern
hunter | beast-mastery | pve | 459550 | 1 | Go for the Throat
hunter | beast-mastery | pve | 1272094 | 1 | Guardian's Hide
hunter | beast-mastery | pve | 472639 | 1 | Hogstrider
hunter | beast-mastery | pve | 471876 | 1 | Howl of the Pack Leader
hunter | beast-mastery | pve | 384799 | 1 | Hunter's Avoidance
hunter | beast-mastery | pve | 459730 | 1 | Huntmaster's Call
hunter | beast-mastery | pve | 1258407 | 1 | Improved Aspect of the Cheetah
hunter | beast-mastery | pve | 1258485 | 1 | Improved Aspect of the Turtle
hunter | beast-mastery | pve | 1258486 | 2 | Improved Feign Death
hunter | beast-mastery | pve | 1268868 | 1 | Improved Snaring
hunter | beast-mastery | pve | 343247 | 1 | Improved Traps
hunter | beast-mastery | pve | 474421 | 1 | Intimidation
hunter | beast-mastery | pve | 1265044 | 1 | Jagged Wounds
hunter | beast-mastery | pve | 378004 | 2 | Keen Eyesight
hunter | beast-mastery | pve | 34026 | 1 | Kill Command
hunter | beast-mastery | pve | 273887 | 2 | Killer Instinct
hunter | beast-mastery | pve | 459506 | 1 | Kindling Flare
hunter | beast-mastery | pve | 459983 | 1 | Kodo Tranquilizer
hunter | beast-mastery | pve | 1264781 | 1 | Lethal Barbs
hunter | beast-mastery | pve | 388039 | 1 | Lone Survivor
hunter | beast-mastery | pve | 270581 | 2 | Natural Mending
hunter | beast-mastery | pve | 1273043 | 1 | Nature's Ally
hunter | beast-mastery | pve | 472660 | 1 | No Mercy
hunter | beast-mastery | pve | 472358 | 1 | Pack Mentality
hunter | beast-mastery | pve | 321014 | 1 | Pack Tactics
hunter | beast-mastery | pve | 459450 | 1 | Padded Armor
hunter | beast-mastery | pve | 378002 | 1 | Pathfinding
hunter | beast-mastery | pve | 109215 | 1 | Posthaste
hunter | beast-mastery | pve | 1267003 | 1 | Precision Strikes
hunter | beast-mastery | pve | 1265052 | 1 | Razor Sharp
hunter | beast-mastery | pve | 385539 | 1 | Rejuvenating Wind
hunter | beast-mastery | pve | 424557 | 1 | Savagery
hunter | beast-mastery | pve | 193532 | 1 | Scent of Blood
hunter | beast-mastery | pve | 459455 | 1 | Scout's Instincts
hunter | beast-mastery | pve | 459502 | 2 | Serrated Tips
hunter | beast-mastery | pve | 1264775 | 1 | Sharpened Fangs
hunter | beast-mastery | pve | 472707 | 1 | Shell Cover
hunter | beast-mastery | pve | 472719 | 1 | Slicked Shoes
hunter | beast-mastery | pve | 468695 | 1 | Snakeskin Quiver
hunter | beast-mastery | pve | 459542 | 1 | Specialized Arsenal
hunter | beast-mastery | pve | 472741 | 1 | Stampede!
hunter | beast-mastery | pve | 199530 | 1 | Stomp
hunter | beast-mastery | pve | 264735 | 1 | Survival of the Fittest
hunter | beast-mastery | pve | 187698 | 1 | Tar Trap
hunter | beast-mastery | pve | 459460 | 1 | Tar-Coated Bindings
hunter | beast-mastery | pve | 459507 | 1 | Territorial Instincts
hunter | beast-mastery | pve | 231548 | 1 | The Beast Within
hunter | beast-mastery | pve | 1265051 | 2 | Thrill of the Hunt
hunter | beast-mastery | pve | 459693 | 1 | Thundering Hooves
hunter | beast-mastery | pve | 1258402 | 2 | Touch of Grass
hunter | beast-mastery | pve | 199921 | 1 | Trailblazer
hunter | beast-mastery | pve | 378209 | 2 | Training Expert
hunter | beast-mastery | pve | 19801 | 1 | Tranquilizing Shot
hunter | beast-mastery | pve | 459534 | 2 | Trigger Finger
hunter | beast-mastery | pve | 459527 | 1 | Unnatural Causes
hunter | beast-mastery | pve | 472476 | 1 | Ursine Fury
hunter | beast-mastery | pve | 393933 | 1 | War Orders
hunter | beast-mastery | pve | 343242 | 1 | Wilderness Medicine
hunter | beast-mastery | pve | 1232739 | 1 | Wildspeaker
hunter | beast-mastery | pve | 1264792 | 1 | Wyvern's Gaze
hunter | beast-mastery | pvp | 356719 | | Chimaeral Sting
hunter | beast-mastery | pvp | 356962 | | Kindred Beasts
hunter | beast-mastery | pvp | 202746 | | Survival Tactics
hunter | beast-mastery | pvp | 356976 | | The Beast Within

# Hunter / Marksmanship (exported 2026-08-18)
hunter | marksmanship | pve | 471428 | 1 | Accuracy By Volume
hunter | marksmanship | pve | 19434 | 1 | Aimed Shot
hunter | marksmanship | pve | 470945 | 1 | Aspect of the Hydra
hunter | marksmanship | pve | 109248 | 1 | Binding Shot
hunter | marksmanship | pve | 466932 | 1 | Black Arrow
hunter | marksmanship | pve | 466930 | 1 | Black Arrow
hunter | marksmanship | pve | 467749 | 1 | Bleak Arrows
hunter | marksmanship | pve | 467911 | 1 | Bleak Powder
hunter | marksmanship | pve | 1264291 | 1 | Blighted Quiver
hunter | marksmanship | pve | 266921 | 2 | Born To Be Wild
hunter | marksmanship | pve | 389019 | 1 | Bulletstorm
hunter | marksmanship | pve | 204089 | 1 | Bullseye
hunter | marksmanship | pve | 260404 | 1 | Calling the Shots
